image,drink_category,subcategory,mean_valence,sd_valence,mean_craving,sd_craving,database
063_beer.jpg,beer,holiday_setting,60.09615385,28.15939199,45.42307692,28.33853204,pexels
064_beer.jpg,beer,holiday_setting,78.74137931,16.63916364,61.36206897,27.42306513,pexels
065_beer.jpg,beer,holiday_setting,63.5,19.90516733,49.63461538,25.00590428,pexels
066_beer.jpg,beer,holiday_setting,77.5,18.74599372,55.77586207,28.53686019,pexels
067_beer.jpg,beer,holiday_setting,67.96153846,21.58699821,52.30769231,27.25661529,pixabay
068_beer.jpg,beer,holiday_setting,73.51724138,22.39301378,60.29310345,26.35453862,pixabay
069_beer.jpg,beer,holiday_setting,75.82692308,20.11703127,55.46153846,24.44879526,unsplash
070_beer.jpg,beer,holiday_setting,69.37931034,18.46174574,56.44827586,26.77926169,unsplash
071_beer.jpg,beer,holiday_setting,69.67307692,25.2071583,57.53846154,25.70150033,pixabay
072_beer.jpg,beer,holiday_setting,67.18965517,21.66771136,54.70689655,26.62079956,pixabay
073_beer.jpg,beer,holiday_setting,67.03846154,26.46859889,44.17307692,28.24453524,unsplash
074_beer.jpg,beer,holiday_setting,75.22413793,18.05356854,62.32758621,25.51324935,pexels
075_beer.jpg,beer,holiday_setting,70.48076923,22.04228591,51.36538462,23.91408548,unsplash
076_beer.jpg,beer,holiday_setting,78.31034483,20.77549746,61.81034483,26.27416642,pexels
077_beer.jpg,beer,holiday_setting,67.44230769,22.24323071,44.53846154,26.11697783,pexels
078_beer.jpg,beer,holiday_setting,74.4137931,19.09260395,62.24137931,24.56378046,pexels
079_beer.jpg,beer,opening_drink,47.75862069,20.95467987,40.46551724,27.7875496,pexels
080_beer.jpg,beer,opening_drink,59.90384615,21.03802311,51.65384615,24.40177156,pexels
081_beer.jpg,beer,opening_drink,53.34482759,20.48238586,43.67241379,25.3331403,stocksnap
082_beer.jpg,beer,opening_drink,24.48076923,26.41188858,17.38461538,25.55666817,stocksnap
083_beer.jpg,beer,opening_drink,59.70689655,21.72799037,50.55172414,25.20802741,unsplash
084_beer.jpg,beer,opening_drink,64,18.30354086,54.42307692,21.73489663,pexels
085_beer.jpg,beer,opening_drink,58.01724138,18.74809125,48.65517241,24.08213411,pexels
086_beer.jpg,beer,opening_drink,37.17307692,26.56750275,35.59615385,28.4103403,pexels
087_beer.jpg,beer,opening_drink,46.01724138,21.13904791,41.77586207,26.8119135,pexels
088_beer.jpg,beer,opening_drink,55.65384615,20.47560444,45.40384615,25.84134066,pexels
089_beer.jpg,beer,opening_drink,61.98275862,24.31409336,50.55172414,25.90276854,pexels
090_beer.jpg,beer,opening_drink,57.71153846,20.00915138,41.94230769,25.25199543,pexels
091_beer.jpg,beer,opening_drink,41.03448276,27.64052804,33.56896552,29.22814797,pexels
092_beer.jpg,beer,opening_drink,48.67307692,22.44708038,38.07692308,28.33611024,pexels
093_beer.jpg,beer,opening_drink,52.22413793,24.80099255,40.5,27.78504583,pexels
094_beer.jpg,beer,people_drinking,48.44230769,24.57514563,44.34615385,27.0177027,pexels
095_beer.jpg,beer,people_drinking,50.74137931,24.18971823,40.5,28.49392056,pexels
096_beer.jpg,beer,people_drinking,58.69230769,19.43973943,46.09615385,24.43258802,pexels
097_beer.jpg,beer,people_drinking,50.18965517,22.15769392,40.18965517,26.0495189,pexels
098_beer.jpg,beer,people_drinking,52.19230769,20.7997346,41.63461538,24.70455134,pexels
099_beer.jpg,beer,people_drinking,47.86206897,24.33569919,43.84482759,27.17571266,pexels
100_beer.jpg,beer,people_drinking,54.11538462,23.09626389,51.55769231,25.00463758,pexels
101_beer.jpg,beer,people_drinking,53.37931034,19.7402675,42.18965517,26.1201387,unsplash
102_beer.jpg,beer,people_drinking,65.40384615,18.96049517,52.30769231,23.5801,unsplash
103_beer.jpg,beer,people_drinking,46.84482759,27.14858513,33.98275862,27.93444166,unsplash
104_beer.jpg,beer,people_drinking,59.96153846,20.15621496,47.92307692,24.96887957,unsplash
105_beer.jpg,beer,people_drinking,52.94827586,23.76598071,44.9137931,23.12383481,unsplash
106_beer.jpg,beer,people_drinking,55.32692308,24.36464906,41.5,24.28547537,unsplash
107_beer.jpg,beer,people_drinking,36.22413793,23.96052536,30.81034483,25.74194263,unsplash
108_beer.jpg,beer,people_drinking,45.11538462,24.38470579,35.94230769,28.35517967,unsplash
109_beer.jpg,beer,people_drinking,49.84482759,21.23535758,37.32758621,27.30554081,unsplash
110_beer.jpg,beer,people_drinking,55.96153846,22.61784957,44.78846154,26.10937518,pexels
111_beer.jpg,beer,people_drinking,56.68965517,21.09145241,50.05172414,26.03737018,pexels
112_beer.jpg,beer,people_drinking,58.01724138,24.47231976,46.15517241,25.5918036,freepik
113_beer.jpg,beer,pouring,62.96153846,20.56263653,56.82692308,22.13569662,pixabay
114_beer.jpg,beer,pouring,59.84482759,20.62429305,51.4137931,28.67178727,pixabay
115_beer.jpg,beer,pouring,57.05769231,19.61033487,48.92307692,24.78602243,pixabay
116_beer.jpg,beer,pouring,55.81034483,23.96888107,45.03448276,25.29542329,pixabay
117_beer.jpg,beer,pouring,63.73076923,21.95013545,54.15384615,23.6604946,pixabay
118_beer.jpg,beer,pouring,60.32758621,19.81704736,51.55172414,25.63931494,unsplash
119_beer.jpg,beer,pouring,60.15384615,21.0362755,52.69230769,26.36734348,unsplash
120_beer.jpg,beer,pouring,59.53448276,20.8673467,49.70689655,27.95862144,unsplash
121_beer.jpg,beer,pouring,58.94230769,25.35351116,49.36538462,25.4265793,unsplash
122_beer.jpg,beer,pouring,60.68965517,22.80905245,49.65517241,27.97464499,unsplash
123_beer.jpg,beer,pouring,57.65384615,17.46018958,46.80769231,24.79724721,unsplash
124_beer.jpg,beer,pouring,61.86206897,18.91573955,53.24137931,24.75161547,pexels
125_beer.jpg,beer,pouring,53.17307692,22.99507292,40.32692308,25.17524551,pexels
126_beer.jpg,beer,pouring,60.53448276,22.63146042,50.9137931,27.97322309,pexels
127_beer.jpg,beer,pouring,50.76923077,19.53239178,47.28846154,25.42218927,pexels
128_beer.jpg,beer,pouring,55.43103448,25.6194225,47.5,26.7694838,pexels
129_beer.jpg,beer,pouring,48.96153846,20.38161565,45.46153846,24.47604795,pexels
130_beer.jpg,beer,pouring,49.13793103,24.19616345,39.03448276,28.95063282,pexels
131_beer.jpg,beer,pouring,57.26923077,19.33412647,47.69230769,25.14314974,pexels
132_beer.jpg,beer,pouring,53.98275862,23.78300394,47.74137931,27.08761635,pexels
133_beer.jpg,beer,pouring,45.55769231,22.53834507,37.44230769,26.16794436,pexels
134_beer.jpg,beer,pouring,60,18.98198592,54.72413793,25.26060181,pexels
135_beer.jpg,beer,pouring,57.21153846,20.3376754,49.82692308,24.19505796,pexels
136_beer.jpg,beer,pouring,62.89655172,21.46207561,55.24137931,26.42719914,pexels
137_beer.jpg,beer,pouring,60.09615385,18.9159748,50.23076923,26.94920086,pexels
138_beer.jpg,beer,pouring,61.81034483,20.51653753,55.05172414,24.80833364,pexels
